title,link,domain,published_date,topic
Bigg Boss 14 Promo: Salman Khan Has The Answer To 2020's Entertainment Drought,https://www.ndtv.com/entertainment/bigg-boss-14-promo-salman-khan-has-the-answer-to-2020s-entertainment-drought-2280697,ndtv.com,2020-08-17 09:03:48,ENTERTAINMENT
Balearic and Canary islands STAY on UK quarantine list despite Spanish insisting they are safe,https://www.dailymail.co.uk/news/article-8588041/Britain-lift-quarantine-travellers-returning-Balearic-Canary-islands-TODAY.html,dailymail.co.uk,2020-08-03 12:15:46,WORLD
Manchester Crown Court closed this morning following suspected coronavirus outbreak,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/manchester-crown-court-coronavirus-outbreak-18725104,manchestereveningnews.co.uk,2020-08-06 10:26:00,NATION
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.bbc.com/news/business-53635238,bbc.com,2020-08-04 11:15:00,BUSINESS
Robert Pattinson was caught lying to 'Tenet' director Christopher Nolan over Batman audition,https://sports.yahoo.com/robert-pattinson-batman-audition-christopher-nolan-201217726.html,sports.yahoo.com,2020-08-10 20:12:00,ENTERTAINMENT
"In trial, Israeli gargle test gives COVID results in 1 second, at 95% accuracy",https://www.timesofisrael.com/in-trial-israeli-gargle-test-gives-covid-results-in-1-second-at-95-accuracy/,timesofisrael.com,2020-08-17 13:00:29,NATION
Meghan Markle and Prince Harry ‘accidentally sent thanks’ to Royal Family TROLLS,https://www.express.co.uk/news/royal/1323391/Meghan-markle-news-prince-harry-duke-duchess-sussex-twitter-royal-family-troll,express.co.uk,2020-08-16 04:41:35,ENTERTAINMENT
The minister 'must act now': Alan Kelly calls for free flu jabs to combat overcrowding,https://www.irishexaminer.com/news/arid-40029428.html,irishexaminer.com,2020-08-08 10:09:00,HEALTH
Coronavirus Disease (COVID-19): Situation Report - 198 (5 August 2020) - World,https://reliefweb.int/report/world/coronavirus-disease-covid-19-situation-report-198-5-august-2020,reliefweb.int,2020-08-05 19:10:00,HEALTH
Can New York's Attorney General take down one of the most feared forces in American politics?,https://www.cnn.com/2020/08/09/world/meanwhile-in-america-august-7-intl/index.html,cnn.com,2020-08-09 15:45:00,WORLD
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.dailytelegraph.com.au/subscribe/news/1/?sourceCode=DTWEB_WRE170_a&dest=https%3A%2F%2Fwww.dailytelegraph.com.au%2Flifestyle%2Ffood%2Fuber-eats-drivers-accused-of-faking-being-lost-to-steal-food%2Fnews-story%2F2d24fce89b4b25b460395b3d9c838d74&memtype=anonymous&mode=premium&nk=bf1afb4e95bba3142dcfc9ecb98d168c-1597140676,dailytelegraph.com.au,2020-08-11 07:16:00,BUSINESS
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.livemint.com/market/stock-market-news/govt-extends-ajay-tyagi-s-term-as-sebi-chairman-by-18-months-till-feb-2022-11596633566102.html,livemint.com,2020-08-05 13:23:53,BUSINESS
Wretch 32 says 'there's not enough trust' between police and public at protest | ITV News,https://www.itv.com/news/2020-08-08/black-lives-matter-protesters-gather-outside-police-station-on-ninth-anniversary-of-mark-duggan-death,itv.com,2020-08-08 17:01:00,NATION
"Report: £12.5m star appoints new agent after interest from Liverpool, tempted to leave",https://www.hitc.com/en-gb/2020/08/06/report-12-5m-star-appoints-new-agent-after-interest-from-liverpool-tempted-to-leave/,hitc.com,2020-08-06 07:30:00,SPORTS
Duale Demands To Know Whereabouts Of Journalist Yassin Juma After Ethiopian Court Ordered For His Release,https://www.kahawatungu.com/duale-demands-know-whereabouts-yassin-juma/,kahawatungu.com,2020-08-12 16:57:04,NATION
Dortmund plan new Jadon Sancho contract amid Manchester United interest and more transfer rumours,https://www.manchestereveningnews.co.uk/sport/football/football-news/manchester-united-transfer-news-sancho-18738434,manchestereveningnews.co.uk,2020-08-08 19:00:00,SPORTS
People over 1.8m may be 'twice as likely' to contract new coronavirus,https://m.health24.com/Medical/Infectious-diseases/Coronavirus/people-over-18m-may-be-twice-as-likely-to-contract-new-coronavirus-20200806-5,m.health24.com,2020-08-06 06:45:37,HEALTH
Covid-19 could be worse than the 1918 influenza pandemic: Study,https://www.thehindubusinessline.com/news/science/covid-19-could-be-worse-than-the-1918-influenza-pandemic-study/article32351517.ece,thehindubusinessline.com,2020-08-14 05:33:43,HEALTH
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.fool.com/earnings/call-transcripts/2020/08/05/endeavour-silver-corp-exk-q2-2020-earnings-call-tr.aspx,fool.com,2020-08-05 14:30:35,BUSINESS
"Yellowstone Just Took 4 Big Steps Toward The Season 3 Finale, And I’m Worried",https://www.cinemablend.com/television/2552082/yellowstone-just-took-4-big-steps-toward-the-season-3-finale-and-im-worried,cinemablend.com,2020-08-10 02:00:00,ENTERTAINMENT
Zara Tindall could ditch royal tradition with children that was used by Princess Anne,https://www.express.co.uk/life-style/life/1318326/princess-anne-zara-tindall-children-royal-tradition-school-latest-news,express.co.uk,2020-08-04 06:48:00,ENTERTAINMENT
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.japantimes.co.jp/news/2020/08/16/business/japan-tiktok-akira-amari-china/,japantimes.co.jp,2020-08-16 07:08:00,BUSINESS
Hagia Sophia controversy goes beyond Muslim-Christian tensions to treatment of 'paganism',https://theconversation.com/hagia-sophia-controversy-goes-beyond-muslim-christian-tensions-to-treatment-of-paganism-142966,theconversation.com,2020-08-11 19:32:00,WORLD
How to use dry heat to decontaminate a N95 respirator (mask),https://www.ems1.com/ems-products/personal-protective-equipment-ppe/articles/electric-cookers-can-be-used-to-sanitize-n95-masks-study-finds-VPJcQuDHWRAhrqbO/,ems1.com,2020-08-10 18:16:00,HEALTH
Liverpool-linked Thiago set to leave but Bayern 'cautiously optimistic' of keeping Alaba,https://www.the42.ie/liverpool-linked-thiago-set-to-leave-but-bayern-cautiously-optimistic-of-keeping-alaba-5173213-Aug2020/,the42.ie,2020-08-11 17:15:00,SPORTS
VJ Day 2020: Japan's tribute reopens old wounds | News,https://www.thetimes.co.uk/article/vj-day-2020-japans-tribute-reopens-old-wounds-8mdl9kzzq,thetimes.co.uk,2020-08-15 17:00:00,WORLD
Coronavirus: Interior Health suspending service at downtown Kelowna testing centre,https://globalnews.ca/news/7266720/interior-health-suspending-service-testing-centre/,globalnews.ca,2020-08-11 20:27:47,HEALTH
Australian scientists are using alpacas to find a cure for coronavirus,https://www.adelaidenow.com.au/technology/science/australian-scientists-are-using-alpacas-to-find-a-cure-for-coronavirus/news-story/6f809f98ba80b951b3c7dcb08295d428?nk=b247a1049e3afccc99af2dc8893e238c-1597277550,adelaidenow.com.au,2020-08-11 02:57:00,HEALTH
Google Plus settlement email: Real or fake?,https://www.kron4.com/news/national/google-plus-settlement-email-real-or-fake/,kron4.com,2020-08-07 19:58:00,TECHNOLOGY
Judd Apatow Swears That The Penis In Walk Hard Belongs To A Famous Director,https://www.cinemablend.com/news/2552576/judd-apatow-swears-that-the-penis-in-walk-hard-belongs-to-a-famous-director,cinemablend.com,2020-08-15 15:00:00,ENTERTAINMENT
"Arzani will be a smash hit in the Netherlands, says Oar",https://theworldgame.sbs.com.au/arzani-will-be-a-smash-hit-in-the-netherlands-says-oar,theworldgame.sbs.com.au,2020-08-08 06:04:24,SPORTS
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.fool.com/investing/2020/08/17/diageo-spends-610-million-for-ryan-reynolds-gin-co/,fool.com,2020-08-17 18:26:00,BUSINESS
Zero new COVID-19 cases reported in London-Middlesex,https://blackburnnews.com/london/london-news/2020/08/08/zero-new-covid-19-cases-reported-london-middlesex-2/,blackburnnews.com,2020-08-08 18:10:00,HEALTH
"Battling anxiety? Yoga is just as effective as a therapy session, say experts",https://www.thetimes.co.uk/article/battling-anxiety-yoga-is-just-as-effective-as-a-therapy-session-say-experts-z69b20ltn,thetimes.co.uk,2020-08-12 16:00:00,HEALTH
FP2 HIGHLIGHTS: Watch the action as Ricciardo finishes behind Mercedes duo at Silverstone,https://www.formula1.com/en/latest/article.fp2-highlights-watch-the-action-as-ricciardo-finishes-behind-mercedes-duo-at.6EaE7VPWCDthBXaifcPit2.html,formula1.com,2020-08-07 18:41:02,SPORTS
ASK AMY: Family survivor doesn’t want to talk about it,https://torontosun.com/life/relationships/ask-amy-family-survivor-doesnt-want-to-talk-about-it,torontosun.com,2020-08-04 10:00:44,ENTERTAINMENT
Ghislaine Maxwell Complains About Treatment While in U.S. Jail,https://www.bloomberg.com/tosv2.html?vid=&uuid=f2be6c00-db6f-11ea-9cbe-f5eac8fc4995&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0wOC0xMS9naGlzbGFpbmUtbWF4d2VsbC1jb21wbGFpbnMtYWJvdXQtdHJlYXRtZW50LXdoaWxlLWluLXUtcy1qYWls,bloomberg.com,2020-08-11 00:23:00,ENTERTAINMENT
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://cleantechnica.com/2020/08/13/tesla-gigafactory-berlin-progress-roof-goes-up-on-drive-unit-building/,cleantechnica.com,2020-08-13 18:05:49,BUSINESS
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.carscoops.com/2020/08/nissan-will-let-you-pay-for-parking-with-electricity/,carscoops.com,2020-08-03 21:31:00,BUSINESS
Pitbull gets emotional in Premios Juventud acceptance speech and more show highlights,https://www.usatoday.com/story/entertainment/music/2020/08/14/premios-juventud-2020-pitbulls-emotional-speech-selena-tribute/3374679001/,usatoday.com,2020-08-14 16:15:06,ENTERTAINMENT
KZN education spokesperson shares what kept him going during 23-day hospital Covid-19 battle,https://www.timeslive.co.za/news/south-africa/2020-08-11-kzn-education-spokesperson-shares-what-kept-him-going-during-23-day-hospital-covid-19-battle/,timeslive.co.za,2020-08-11 11:15:00,WORLD
Dead by Daylight now supports cross-play between PC and consoles,https://www.eurogamer.net/articles/2020-08-13-dead-by-daylight-now-supports-cross-play-between-pc-and-consoles,eurogamer.net,2020-08-13 18:24:00,TECHNOLOGY
Gladys Berejiklian apologises for Ruby Princess coronavirus disaster,https://www.news.com.au/travel/travel-updates/health-safety/gladys-berejiklian-apologises-for-ruby-princess-coronavirus-disaster/news-story/d789afd79f235135821f3470d5a6ed22,news.com.au,2020-08-17 02:11:46,NATION
Realme C12 pops-up on GeekBench with a Helio P35 chipset and 3GB of RAM news,https://www.gsmarena.com/realme_c12_popsup_on_geekbench_with_a_helio_p35_chipset_and_3gb_of_ram-news-44664.php,gsmarena.com,2020-08-08 09:00:01,TECHNOLOGY
"Over 25 million Americans at risk of losing health care as coronavirus pandemic rages: ""It's been real hard for me""",https://www.cbsnews.com/news/covid-pandemic-health-care-25-million-risk-losing-coronavirus/,cbsnews.com,2020-08-05 18:32:00,HEALTH
"A flawed genius, showman, superman",https://www.herald.co.zw/a-flawed-genius-showman-superman/,herald.co.zw,2020-08-13 01:50:16,SPORTS
The Best Deals On Laptops: Save Hundreds On Surface Laptops & 2-In-1s,https://www.forbes.com/sites/forbes-personal-shopper/2020/08/03/the-best-deals-on-laptops-save-hundreds-on-surface-laptops--2-in-1s/,forbes.com,2020-08-03 15:55:00,TECHNOLOGY
"Belarus reports 63,425 coronavirus recoveries",https://eng.belta.by/society/view/belarus-reports-63425-coronavirus-recoveries-132268-2020/,eng.belta.by,2020-08-05 11:08:00,WORLD
Flight warning as Indonesia's Mt Sinabung erupts again,https://www.newagebd.net/article/113468/flight-warning-as-indonesias-mt-sinabung-erupts-again,newagebd.net,2020-08-13 20:48:00,NATION
"Keeps out rain and COVID-19, Seoul tries smart bus shelter to fight virus",https://www.swissinfo.ch/eng/keeps-out-rain-and-covid-19--seoul-tries-smart-bus-shelter-to-fight-virus/45968566,swissinfo.ch,2020-08-14 13:47:32,HEALTH
"Chinese cities find coronavirus in frozen food imports, WHO downplays infection risk",https://www.reuters.com/article/us-health-coronavirus-china-food/chinese-cities-find-coronavirus-in-frozen-food-imports-who-downplays-infection-risk-idUSKCN259330,reuters.com,2020-08-13 21:52:00,WORLD
Google Pixel 4a vs. Samsung Galaxy A51: Which should you buy?,https://www.androidcentral.com/google-pixel-4a-vs-samsung-galaxy-a51,androidcentral.com,2020-08-13 12:00:04,TECHNOLOGY
UK school-leavers have been sorely let down,https://www.ft.com/content/b605e774-9269-41b2-88c3-2876dcbc832c,ft.com,2020-08-13 17:18:00,HEALTH
A Black Family Was Held At Gunpoint By Police Who Thought They Were In A Stolen Car,https://www.buzzfeednews.com/article/clarissajanlim/police-hold-black-family-gunpoint-mistake-stolen-vehicle,buzzfeednews.com,2020-08-04 18:03:00,WORLD
‘Raise sick pay’ to lower virus health and economic risk,https://www.bbc.com/news/business-53772260,bbc.com,2020-08-13 23:01:39,HEALTH
"BBNaija Star, Tacha Reacts To Fella Makafui's Baby Bump Photos",https://www.ghgossip.com/bbnaija-star-tacha-reacts-to-fella-makafuis-baby-bump-photos/,ghgossip.com,2020-08-08 18:19:00,ENTERTAINMENT
"Andhra Pradesh Chief Minister Launches Rs 17,000 Crore Scheme To Empower Women",https://www.ndtv.com/top-stories/andhra-pradesh-chief-minister-ys-jagan-mohan-reddy-launches-rs-17-000-crore-scheme-to-empower-women-2278552,ndtv.com,2020-08-12 16:11:05,NATION
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.forbes.com/sites/kenrapoza/2020/08/17/china-decoupling-may-be-unstoppable-even-under-biden/,forbes.com,2020-08-17 15:30:00,BUSINESS
Getting to know George Harrison through his own words,https://www.washingtonpost.com/entertainment/books/getting-to-know-george-harrison-through-his-own-words/2020/08/05/8a8e6b3e-9548-11ea-91d7-cf4423d47683_story.html,washingtonpost.com,2020-08-06 12:18:00,ENTERTAINMENT
Studies Track Infections to Measure Mask Effectiveness,https://www.medscape.com/viewarticle/935666,medscape.com,2020-08-14 20:25:21,HEALTH
Xbox Series X confirmed for November start in Japan,https://www.sproutwired.com/xbox-series-x-confirmed-for-november-start-in-japan/,sproutwired.com,2020-08-13 07:11:04,TECHNOLOGY
Audi announces fresh S3 Sportback and S4 Avant,https://www.stuff.co.nz/motoring/122434195/audi-announces-fresh-s3-sportback-and-s4-avant,stuff.co.nz,2020-08-13 20:08:00,TECHNOLOGY
Ric Flair reminded us he's still one of the best in the game,https://www.cagesideseats.com/wwe/2020/8/11/21363032/ric-flair-amazing-promo-aug-10-2020-wwe-raw-randy-orton-punt,cagesideseats.com,2020-08-11 19:50:00,ENTERTAINMENT
Greece on course to join quarantine red list after biggest daily rise in infections,https://www.telegraph.co.uk/news/2020/08/14/greece-course-join-quarantine-red-list-biggest-daily-rise-infections/,telegraph.co.uk,2020-08-14 19:42:00,WORLD
Philippines now has worst Covid-19 outbreak in Southeast Asia,https://www.nst.com.my/world/region/2020/08/614749/philippines-now-has-worst-covid-19-outbreak-southeast-asia,nst.com.my,2020-08-07 05:58:39,WORLD
Farcical state of coronavirus test and trace exposed by exasperated contact tracer,https://www.express.co.uk/news/uk/1319443/coronavirus-contact-trace-test-and-trace-system-uk-latest-update,express.co.uk,2020-08-06 10:54:00,NATION
"Jamal James takes decision over Thomas Dulorme, wins interim WBA belt",https://www.badlefthook.com/2020/8/8/21360307/james-vs-dulorme-results-jamal-takes-decision-wins-interim-wba-belt-boxing-news-pbc-fox,badlefthook.com,2020-08-09 03:10:25,SPORTS
Coronavirus breaks out again in New Zealand after 102 days,https://www.moneycontrol.com/news/world/coronavirus-breaks-out-again-in-new-zealand-after-102-days-5683761.html,moneycontrol.com,2020-08-11 10:12:00,WORLD
NASA says boaters got way too close to SpaceX capsule landing site,https://www.tweaktown.com/news/74234/nasa-says-boaters-got-way-too-close-to-spacex-capsule-landing-site/index.html,tweaktown.com,2020-08-04 08:33:01,SCIENCE
Michelle Yeoh undergoes COVID-19 test after landing in Australia to film for Marvel movie,https://www.dailymail.co.uk/tvshowbiz/article-8608243/Michelle-Yeoh-undergoes-COVID-19-test-landing-Australia-film-Marvel-movie.html,dailymail.co.uk,2020-08-09 00:31:03,ENTERTAINMENT
"Ashton Kutcher slams Pence, Trump for lack of relief following deadly derecho in Iowa: 'Wake up'",https://www.foxnews.com/entertainment/ashton-kutcher-slams-pence-trump-lack-of-relief-deadly-derecho,foxnews.com,2020-08-15 16:16:51,NATION
"Size 8, DJ Mo's daughter crowned East Africa most stylish girl in 2020",https://www.tuko.co.ke/372159-size-8-dj-mos-daughter-crowned-east-africa-most-stylish-girl-2020.html,tuko.co.ke,2020-08-05 07:22:00,ENTERTAINMENT
Queensland closes border to ACT and NSW from Saturday,https://www.canberratimes.com.au/story/6864772/this-is-our-new-reality-act-government-surprised-by-queensland-border-closure/,canberratimes.com.au,2020-08-05 03:30:00,NATION
Students warn mock grades 'make mockery' of exams,https://www.bbc.co.uk/news/education-53746140,bbc.co.uk,2020-08-12 15:21:19,NATION
Biden's climate fight is just beginning | TheHill,https://thehill.com/policy/energy-environment/511889-bidens-climate-fight-is-just-beginning,thehill.com,2020-08-17 10:00:42,WORLD
"Pacman Jones Makes Peace with Joe Haden, Suspects Joey Porter In Jersey Prank",https://www.tmz.com/2020/08/14/pacman-jones-joe-haden-joey-porter-steelers-pittsburgh/,tmz.com,2020-08-14 07:20:00,SPORTS
Aston Martin releases 007 Edition cars for No Time to Die - 100-unit Vantage and 25-unit DBS Superleggera,https://paultan.org/2020/08/17/aston-martin-releases-007-edition-cars-for-no-time-to-die/,paultan.org,2020-08-17 06:24:12,TECHNOLOGY
Anger as Mexico's 'selfie' bear is castrated,https://www.stuff.co.nz/travel/travel-troubles/122405328/anger-as-mexicos-selfie-bear-is-castrated,stuff.co.nz,2020-08-10 20:00:00,WORLD
Google rolls out Pixel exclusive Bedtime and Sunrise Alarm to all devices,https://ausdroid.net/2020/08/12/google-rolls-out-pixel-exclusive-bedtime-and-sunrise-alarm-to-all-devices/,ausdroid.net,2020-08-12 05:45:53,TECHNOLOGY
My Father Believed The Existence,https://www.somagnews.com/my-father-believed-the-existence/,somagnews.com,2020-08-07 17:31:00,SCIENCE
India planning to create digital infra for distribution of Covid vaccine,https://www.business-standard.com/article/current-affairs/india-planning-to-create-digital-infra-for-distribution-of-covid-vaccine-120081201372_1.html,business-standard.com,2020-08-12 17:23:19,WORLD
Katy Perry Transforms Into a Sad Clown in Video Game-Themed 'Smile' Visual: Watch,https://www.billboard.com/articles/columns/pop/9434569/katy-perry-smile-video,billboard.com,2020-08-14 16:11:39,ENTERTAINMENT
Sigma Releases 85mm f/1.4 DG DN Art Lens for Sony E Mount Mirrorless Cameras; More Info at B&H,https://finance.yahoo.com/news/sigma-releases-85mm-f-1-123000068.html,finance.yahoo.com,2020-08-06 12:30:00,TECHNOLOGY
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.foxbusiness.com/money/amazon-protest-new-york-jeff-bezos,foxbusiness.com,2020-08-09 19:01:26,BUSINESS
Apple Seeking to Build China-Based iPhone Supply Chain Exclusively for Chinese Market,https://www.macrumors.com/2020/08/04/apple-chinese-iphone-supply-chain-chinese-market/,macrumors.com,2020-08-04 08:55:00,TECHNOLOGY
Statistical dark arts endanger democracy — and life,https://www.nature.com/articles/d41586-020-02280-x,nature.com,2020-08-04 09:04:19,ENTERTAINMENT
Who should you support in the Champions League and why is the answer Atalanta?,https://www.dreamteamfc.com/c/news-gossip/465925/champions-league-atalanta/,dreamteamfc.com,2020-08-03 15:22:00,SPORTS
Howard Stern had some very bizarre advice for Ellen DeGeneres as cancellation rumours swirl,https://www.indy100.com/article/howard-stern-ellen-degeneres-show-bullying-accusations-9664366,indy100.com,2020-08-11 08:00:00,ENTERTAINMENT
"Sportsnet: Maple Leafs tie series, but Jake Muzzin’s health more important",https://www.680news.com/2020/08/05/toronto-maple-leafs-muzzin/,680news.com,2020-08-05 09:57:55,SPORTS
Lakers Veteran Issues Strong Statement on Return of Rajon Rondo,https://heavy.com/sports/los-angeles-lakers/2020/08/danny-green-rajon-rondo/,heavy.com,2020-08-17 00:37:00,SPORTS
Into the unknown: NBA teams face concerns outside of bubble,https://www.recorder.com/Into-the-unknown-NBA-teams-face-concerns-outside-of-bubble-35743978,recorder.com,2020-08-14 20:55:05,SPORTS
Debate begins for who's first in line for COVID-19 vaccine,https://dunyanews.tv/en/Health/557416-Debate-COVID-19-vaccine,dunyanews.tv,2020-08-03 18:12:00,HEALTH
Lessons for SA from Sunday afternoon rugby in NZ? | Sport,https://www.news24.com/sport/rugby/superrugbyaotearoa/lessons-for-sa-from-sunday-afternoon-rugby-in-nz-20200811,news24.com,2020-08-11 12:52:49,SPORTS
Here's what we know about the people who have died from COVID-19 in the last two weeks,https://www.11alive.com/article/news/health/coronavirus/heres-what-we-know-about-the-people-who-have-died-from-covid-the-last-two-weeks/85-b93cf5a6-217f-40d3-b817-fd229b269f32,11alive.com,2020-08-10 21:22:00,HEALTH
Scientists rename human genes to stop Microsoft Excel from misreading them as dates,https://www.theverge.com/2020/8/6/21355674/human-genes-rename-microsoft-excel-misreading-dates,theverge.com,2020-08-06 12:44:02,SCIENCE
NRL: Peter V'landys blasts Penrith Panthers coach Ivan Cleary over ref comments,https://www.stuff.co.nz/sport/league/300078112/nrl-peter-vlandys-blasts-penrith-panthers-coach-ivan-cleary-over-ref-comments,stuff.co.nz,2020-08-09 06:06:00,SPORTS
Chua: I defected out of loyalty for Anwar,https://www.theborneopost.com/2020/08/04/chua-i-defected-out-of-loyalty-for-anwar/,theborneopost.com,2020-08-03 22:43:00,NATION
US government shelves survey that painted bleak picture of Covid-19 life,https://www.theguardian.com/business/2020/aug/06/census-bureau-americans-unemployment-economy-coronavirus,theguardian.com,2020-08-06 09:00:00,NATION
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.reuters.com/article/us-chaparral-energy-bankruptcy/shale-driller-chaparral-energy-files-for-bankruptcy-due-to-pandemic-woes-idUSKCN25D083,reuters.com,2020-08-17 03:21:00,BUSINESS
PML-N hits out at PTI for celebrating Tiger Force Day,https://www.geo.tv/latest/301964-pml-n-hits-out-at-pti-for-celebrating-tiger-force-day,geo.tv,2020-08-09 11:26:00,NATION
"COVID-19 Update: Nearly 100,000 new cases reported among U.S. children | Edmonton care centre exempt from rule limiting staff to one site",https://calgaryherald.com/news/local-news/covid-19-update-nearly-100000-new-cases-reported-among-u-s-children-researcher-says-empathy-can-combat-misinformation-spread,calgaryherald.com,2020-08-10 17:15:00,WORLD
How Liverpool could have found their next “bridge” from academy to first team,https://www.thisisanfield.com/2020/08/how-liverpool-could-have-found-their-next-bridge-from-academy-to-first-team/,thisisanfield.com,2020-08-13 10:25:16,SPORTS
Blasphemy: Abubakar Shekau’s Full Statement Against Kano Death Sentence,https://www.naijanews.com/2020/08/13/reciting-quran-does-not-maker-you-a-muslim/,naijanews.com,2020-08-13 01:46:51,NATION
Predictions for all the 2020 Stanley Cup playoff series | Offside,https://dailyhive.com/vancouver/predictions-2020-stanley-cup-playoffs,dailyhive.com,2020-08-11 18:59:00,SPORTS
Liverpool morning headlines as Bernardo Silva hits out at 'pathetic' Reds,https://www.liverpoolecho.co.uk/sport/football/football-news/liverpool-news-bernardo-silva-tweet-18780081,liverpoolecho.co.uk,2020-08-17 09:23:00,SPORTS
Minister promises Leaving Cert students grades will be assessed fairly,https://www.irishtimes.com/news/education/minister-promises-leaving-cert-students-grades-will-be-assessed-fairly-1.4327791,irishtimes.com,2020-08-11 18:45:00,WORLD
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://vancouverisland.ctvnews.ca/more-products-recalled-amid-onion-related-salmonella-outbreak-1.5066013,vancouverisland.ctvnews.ca,2020-08-15 22:32:00,BUSINESS
Everything noteworthy about the Galaxy Note leaked in video ad,https://www.htxt.co.za/2020/08/05/everything-noteworthy-about-the-galaxy-note-leaked-in-video-ad/,htxt.co.za,2020-08-05 09:16:15,TECHNOLOGY
ICC the top sports body for Facebook video views in 2020,https://www.icc-cricket.com/news/1749602,icc-cricket.com,2020-08-07 09:01:34,SPORTS
Trump escorted from briefing after shooting outside,https://www.rte.ie/news/us/2020/0810/1158440-trump-press-conference/,rte.ie,2020-08-10 22:15:39,WORLD
NSW to launch its own contact trace app,https://www.innovationaus.com/nsw-launch-its-own-contact-trace-app/,innovationaus.com,2020-08-11 20:45:10,HEALTH
Economic clout makes China tougher challenge for U.S. than Soviet Union was - Pompeo,https://www.reuters.com/article/us-czech-usa-pompeo/economic-clout-makes-china-tougher-challenge-for-us-than-soviet-union-was-pompeo-idUSKCN258204,reuters.com,2020-08-12 15:08:00,WORLD
ANC extends condolences after King Zwelithini's brother passes away,https://ewn.co.za/2020/08/08/anc-extends-condolences-after-king-zwelithini-s-brother-passes-away,ewn.co.za,2020-08-08 11:01:30,NATION
Serena Williams Plans To Play U.S. Open And French Open As She Eyes Record-Tying 24th Major,https://www.forbes.com/sites/adamzagoria/2020/08/09/serena-williams-plans-to-play-us-open-and-french-open-as-she-eyes-record-tying-24th-major/,forbes.com,2020-08-09 17:56:00,SPORTS
"Sudan rejects Ethiopian proposal on filling, operation of Nile dam | English.news.cn",http://www.xinhuanet.com/english/2020-08/05/c_139266179.htm,xinhuanet.com,2020-08-05 02:18:25,WORLD
Australian startups push for bigger role in vaccine making,https://www.watoday.com.au/business/small-business/australian-startups-push-for-bigger-role-in-vaccine-making-20200809-p55jy3.html,watoday.com.au,2020-08-09 04:54:00,HEALTH
Why iPhone 12 Will Be Another 'Defining Chapter' In Apple's Growth Story,https://www.foxnews.com/travel/major-cruise-lines-third-suspension-operations-through-oct,foxnews.com,2020-08-05 16:55:15,BUSINESS
